#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Aug 21, 2022 - Aug 27, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Aug 21, 2022 - Aug 27, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,33400,27447,21624,107.9806447518721
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,16639,15656,11464,56.61811278822113
SB:en:itrade:Scotia itrade mobile application terms and conditions,2840,2143,2065,53.990977443609026
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1756,1514,962,309.86648501362396
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,909,840,728,51.61220825852783
SB:en:itrade:Competitive pricing | Scotia iTRADE,885,800,695,207.51295336787564
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,802,765,718,258.84939759036143
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,445,404,386,136.42307692307693
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,445,403,389,61.75833333333333
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,440,361,350,163.125
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,433,394,246,48.61801242236025


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),33228,28461,21823
https://www.scotiaitrade.com/en/home.html,16435,16215,11486
https://www.scotiaitrade.com/en/home/campaigns/scotia-itrade-mobile-application-terms-and-conditions,2840,2143,2065
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1755,1888,1064
https://www.scotiaitrade.com/en/home/pricing-fees.html,885,885,738
https://www.scotiaitrade.com/en/home/open-trading-account.html,892,837,716
https://www.scotiaitrade.com/en/home/contact-us.html,799,778,721
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,429,425,252
https://www.scotiaitrade.com/en/home/where-to-start.html,445,406,391
https://www.scotiaitrade.com/en/home/open-practice-trading-acccount.html,440,373,358
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html,402,372,346


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),20390,16065,11165
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,13331,11788,8009
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,651,572,419
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,422,363,204
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,271,240,147
Internal Search,338,222,205
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:page top CTA:Sign in,234,207,105
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,213,184,175
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:nav-btn:Accounts,286,177,100
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,190,173,168
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:About,137,122,115


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,28464
Other,19141
Mobile Phone,8519
Tablet,796
Media Player,7
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,27818,0.3361852038248616
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,14900,0.1897986577181208
SB:en:itrade:Scotia itrade mobile application terms and conditions,2143,0.6887540830611293
phoenix:Login,1042,0
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,973,0.263103802672148
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,715,0.3090909090909091
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,601,0.8136439267886856
SB:en:itrade:Competitive pricing | Scotia iTRADE,572,0.5402097902097902
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,381,0.09448818897637795
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,306,0.4869281045751634
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,302,0.7582781456953642


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,28464,28464,0.3466132658797077
Direct,12377,12273,0.3517007352347095
Natural Search,8521,9027,0.3365802135899542
Referring Domains,6316,7059,0.34388853704876504
Session Refresh,867,842,0.46366782006920415
Paid Search,161,125,0.031055900621118012
